                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     93,                0.46151,                0.28655,                 1.0147,                0.98567,                0.98372,                0.99387,                0.95591,                0.27699,                0.15048,                0.79838,               0.005446,               0.005446,               0.005446
                     94,                0.45547,                0.28363,                 1.0116,                0.98574,                0.98286,                0.99388,                0.95657,                0.27591,                0.15007,                0.79804,              0.0053965,              0.0053965,              0.0053965
                     95,                0.45624,                0.28567,                 1.0141,                0.98579,                0.98286,                0.99388,                0.95766,                0.27496,                0.14947,                0.79782,               0.005347,               0.005347,               0.005347
                     96,                0.45316,                 0.2829,                 1.0139,                 0.9861,                0.98286,                0.99388,                0.95815,                0.27396,                0.14942,                0.79727,              0.0052975,              0.0052975,              0.0052975
                     97,                0.44902,                0.27854,                 1.0128,                0.98656,                0.98286,                0.99392,                0.95909,                0.27282,                0.14894,                0.79675,               0.005248,               0.005248,               0.005248
                     98,                0.44712,                0.27992,                 1.0074,                 0.9874,                0.98286,                0.99397,                 0.9586,                0.27182,                0.14827,                0.79641,              0.0051985,              0.0051985,              0.0051985
                     99,                0.44295,                0.27528,                 1.0079,                0.98826,                0.98286,                0.99399,                 0.9592,                0.27085,                0.14776,                0.79596,               0.005149,               0.005149,               0.005149
                    100,                0.44732,                0.27732,                 1.0107,                0.98794,                0.98273,                0.99401,                 0.9596,                0.26994,                0.14779,                0.79569,              0.0050995,              0.0050995,              0.0050995
                    101,                0.44999,                0.27978,                 1.0094,                0.98794,                 0.9827,                0.99401,                0.95914,                0.26921,                0.14731,                0.79581,                0.00505,                0.00505,                0.00505
                    102,                0.44325,                0.27605,                 1.0065,                0.98721,                0.98201,                0.99401,                0.95921,                0.26867,                0.14738,                0.79576,              0.0050005,              0.0050005,              0.0050005
                    103,                0.43969,                0.27597,                 1.0057,                  0.987,                0.98201,                0.99399,                0.96006,                0.26776,                0.14653,                0.79563,               0.004951,               0.004951,               0.004951
                    104,                0.44289,                0.27491,                 1.0052,                0.98707,                0.98141,                0.99399,                0.96044,                0.26683,                0.14574,                0.79545,              0.0049015,              0.0049015,              0.0049015
                    105,                0.43559,                0.27175,                 1.0019,                0.98707,                0.98143,                0.99404,                0.96074,                0.26584,                0.14598,                0.79507,               0.004852,               0.004852,               0.004852
                    106,                0.43456,                0.26892,                0.99416,                0.98648,                0.98115,                0.99405,                0.96013,                0.26466,                0.14565,                0.79449,              0.0048025,              0.0048025,              0.0048025
                    107,                0.43402,                0.26959,                0.99659,                0.98633,                0.98115,                0.99406,                0.96026,                 0.2633,                0.14523,                 0.7937,               0.004753,               0.004753,               0.004753
